set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,_art_year
41551-1,Snax,2015,580,51,https://cdn.rebrickable.com/media/sets/41551-1.jpg,4041.0,1.0,14727,1,2015
41552-1,Berp,2015,580,68,https://cdn.rebrickable.com/media/sets/41552-1.jpg,4041.0,1.0,15588,1,2015
41553-1,Vaka-Waka,2015,580,69,https://cdn.rebrickable.com/media/sets/41553-1.jpg,4041.0,1.0,1117,1,2015
41554-1,Kuffs,2016,580,63,https://cdn.rebrickable.com/media/sets/41554-1.jpg,91111.0,4.0,4511,1,2016
41555-1,Busto,2016,580,69,https://cdn.rebrickable.com/media/sets/41555-1.jpg,91111.0,4.0,15113,1,2016
41556-1,Tiketz,2016,580,62,https://cdn.rebrickable.com/media/sets/41556-1.jpg,91111.0,4.0,3099,1,2016
41557-1,Camillot,2016,580,64,https://cdn.rebrickable.com/media/sets/41557-1.jpg,91111.0,3.0,15605,1,2016
41558-1,Mixadel,2016,580,63,https://cdn.rebrickable.com/media/sets/41558-1.jpg,91111.0,3.0,10152,1,2016
41559-1,Paladum,2016,580,64,https://cdn.rebrickable.com/media/sets/41559-1.jpg,91111.0,3.0,13747,1,2016
41560-1,Jamzy,2016,580,70,https://cdn.rebrickable.com/media/sets/41560-1.jpg,91111.0,3.0,9482,1,2016
41561-1,Tapsy,2016,580,57,https://cdn.rebrickable.com/media/sets/41561-1.jpg,91111.0,3.0,14721,1,2016
41562-1,Trumpsy,2016,580,54,https://cdn.rebrickable.com/media/sets/41562-1.jpg,91111.0,3.0,145,1,2016
41563-1,Splasho,2016,580,67,https://cdn.rebrickable.com/media/sets/41563-1.jpg,91112.0,4.0,13970,1,2016
41564-1,Aquad,2016,580,70,https://cdn.rebrickable.com/media/sets/41564-1.jpg,91112.0,4.0,6762,1,2016
41565-1,Hydro,2016,580,70,https://cdn.rebrickable.com/media/sets/41565-1.jpg,91112.0,4.0,9364,1,2016
41566-1,Sharx,2016,580,55,https://cdn.rebrickable.com/media/sets/41566-1.jpg,91112.0,3.0,4769,1,2016
41567-1,Skulzy,2016,580,66,https://cdn.rebrickable.com/media/sets/41567-1.jpg,91112.0,3.0,546,1,2016
41568-1,Lewt,2016,580,62,https://cdn.rebrickable.com/media/sets/41568-1.jpg,91112.0,3.0,7355,1,2016
41569-1,Surgeo,2016,580,63,https://cdn.rebrickable.com/media/sets/41569-1.jpg,91112.0,3.0,13848,1,2016
