LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
1908310,creston comm school district,IA,rural-fringe,2016-2017,0.142551674982181,0.997861724875267,1.4967925873129,4.98930862437634,89.3086243763364,3.06486101211689,1403,Undiverse,,
1908520,dallas center-grimes comm school district,IA,suburban-large,1994-1995,0.0,0.718849840255591,0.319488817891374,0.559105431309904,98.4025559105431,,1252,Extremely undiverse,,
1908520,dallas center-grimes comm school district,IA,suburban-large,2016-2017,0.0651253663301856,1.3676326929339,1.88863562357538,3.48420709866493,91.8593292087268,1.3350700097688,3071,Extremely undiverse,,
1908550,danville comm school district,IA,rural-distant,1994-1995,0.0,0.357142857142857,0.178571428571429,0.0,99.4642857142857,,560,Extremely undiverse,,
1908550,danville comm school district,IA,rural-distant,2016-2017,0.0,0.289435600578871,1.01302460202605,3.03907380607815,91.8958031837916,3.76266280752533,691,Extremely undiverse,,
1908580,davenport comm school district,IA,city-midsize,1994-1995,1.09654080940538,2.22699525209134,16.0920189916346,4.92878137011078,75.6556635767579,,17692,Undiverse,,
1908580,davenport comm school district,IA,city-midsize,2016-2017,0.233333333333333,1.78,19.0533333333333,14.0066666666667,55.1533333333333,9.77333333333333,15000,Diverse,0.0490779547626811,Highly integrated
1908610,davis county comm school district,IA,rural-remote,1994-1995,0.0,0.512070226773958,0.0,0.0,99.487929773226,,1367,Extremely undiverse,,
1908610,davis county comm school district,IA,rural-remote,2016-2017,0.63391442155309,0.316957210776545,0.316957210776545,1.98098256735341,95.7210776545166,1.03011093502377,1262,Extremely undiverse,,
1908730,decorah community school district,IA,town-remote,1994-1995,0.0557724484104852,1.84049079754601,0.278862242052426,0.167317345231456,97.6575571667596,,1793,Extremely undiverse,,
1908730,decorah community school district,IA,town-remote,2016-2017,0.122174709835064,1.7104459376909,0.671960904092853,3.72632864996946,91.0812461820403,2.68784361637141,1637,Extremely undiverse,,
